"school_id","school_name","year","long_name","primary_category","student_count_total","student_count_low_income","student_count_black","student_count_hispanic","student_count_white","student_count_asian","student_count_native_american","student_count_other_ethnicity","student_count_asian_pacific_islander","student_count_multi","student_count_hawaiian_pacific_islander","student_count_ethnicity_not_available","number_students_tested_ela","percent_did_not_meet_ela","percent_partially_met_ela","percent_approached_ela","percent_met_ela","percent_exceeded_ela","percent_met_or_exceeded_ela","number_students_tested_math","percent_did_not_meet_math","percent_partially_met_math","percent_approached_math","percent_met_math","percent_exceeded_math","percent_met_or_exceeded_math"
609799,"BELL",2018,"Alexander Graham Bell Elementary School","ES",999,96,21,172,597,109,1,0,0,94,5,0,481,5.2,6.7,18.7,52,17.5,69.4,476,4.6,7.8,23.5,50.8,13.2,64.1
609904,"ELLINGTON",2018,"Edward K Ellington Elementary School","ES",490,382,468,19,0,0,3,0,0,0,0,0,307,22.8,29.3,25.1,20.8,2,22.8,310,30.6,32.3,26.5,10.3,0.3,10.6
609887,"DIXON",2018,"Arthur Dixon Elementary School","ES",564,374,557,6,0,0,0,0,0,1,0,0,402,11.2,19.2,28.9,33.3,7.5,40.8,402,14.4,25.6,29.4,27.4,3.2,30.6
609921,"TELPOCHCALLI",2018,"Telpochcalli Elementary School","ES",276,161,10,259,7,0,0,0,0,0,0,0,112,42.9,33,14.3,9.8,0,9.8,111,36,34.2,18.9,10.8,0,10.8
610319,"EVERGREEN",2018,"Evergreen Academy Middle School","MS",307,247,11,269,20,5,0,0,0,2,0,0,296,19.3,31.8,24.7,23,1.4,24.3,298,26.2,34.9,24.5,14.1,0.3,14.4
609979,"HEALY",2018,"Robert Healy Elementary School","ES",1409,1011,16,273,100,977,4,0,0,16,23,0,921,8.5,12.4,25.5,43,10.6,53.6,939,7.7,12.2,20.3,42.3,17.5,59.7
610215,"MADERO",2018,"Francisco I Madero Middle School","MS",321,277,0,320,1,0,0,0,0,0,0,0,332,28.6,34.3,28.3,8.4,0.3,8.7,333,29.4,31.5,26.4,12.6,0,12.6
609812,"BROWN W",2018,"William H Brown Elementary School","ES",228,169,203,19,4,1,0,0,0,0,1,0,140,30,36.4,24.3,7.1,2.1,9.3,139,41.7,35.3,18,5,0,5
610542,"WEST RIDGE",2018,"West Ridge Elementary School","ES",809,698,52,168,305,273,3,0,0,6,2,0,461,11.5,14.8,21,42.1,10.6,52.7,480,12.3,23.3,22.3,33.8,8.3,42.1
610176,"SHOOP",2018,"John D Shoop Math-Science Technical Academy ES","ES",433,290,419,9,1,0,4,0,0,0,0,0,271,26.6,28.8,30.3,13.3,1.1,14.4,273,26,33,24.2,15.8,1.1,16.8
610139,"PULLMAN",2018,"George M Pullman Elementary School","ES",417,267,355,54,4,0,0,0,0,4,0,0,247,22.7,30.8,28.3,18.2,0,18.2,244,27.5,36.9,24.6,11.1,0,11.1
609839,"CARROLL",2018,"Carroll-Rosenwald Specialty Elementary School","ES",490,347,460,24,5,0,0,0,0,0,1,0,314,19.4,27.7,27.1,22.9,2.9,25.8,312,27.2,36.9,26,9.6,0.3,9.9
610024,"CARDENAS",2018,"Lazaro Cardenas Elementary School","ES",1158,1098,54,1098,2,2,1,0,0,1,0,0,141,16.3,16.3,24.8,38.3,4.3,42.6,144,5.6,21.5,40.3,29.9,2.8,32.6
609922,"BELMONT-CRAGIN",2018,"Belmont-Cragin Elementary School","ES",447,383,18,421,3,2,2,0,0,1,0,0,176,29.5,34.1,22.2,13.6,0.6,14.2,178,33.7,32.6,24.2,9,0.6,9.6
610312,"MCDOWELL",2018,"Mary E McDowell Elementary School","ES",154,128,148,4,0,0,0,0,0,2,0,0,76,6.6,15.8,28.9,40.8,7.9,48.7,76,11.8,17.1,35.5,31.6,3.9,35.5
400168,"GREAT LAKES",2018,"Great Lakes Academy Charter School","ES",336,222,296,39,0,0,0,0,0,1,0,0,91,4.4,13.2,30.8,50.5,1.1,51.6,91,8.8,29.7,34.1,27.5,0,27.5
400082,"ACERO - FUENTES",2018,"Acero Charter Schools - Carlos Fuentes","ES",539,312,4,525,6,2,0,0,0,2,0,0,365,13.7,23.6,31.8,28.2,2.7,31,369,16.3,27.4,29.3,25.5,1.6,27.1
610366,"WACKER",2018,"Charles H Wacker Elementary School","ES",264,146,260,3,0,1,0,0,0,0,0,0,153,18.3,30.7,28.1,20.9,2,22.9,149,26.2,32.9,26.2,14.1,0.7,14.8
609941,"RANDOLPH",2018,"Asa Philip Randolph Elementary School","ES",499,332,456,41,0,0,1,0,0,1,0,0,305,43.6,28.2,21,7.2,0,7.2,303,42.6,33.3,18.2,5.9,0,5.9
609988,"HENRY",2018,"Patrick Henry Elementary School","ES",522,364,20,440,37,10,10,0,0,3,2,0,261,29.5,28,24.5,17.2,0.8,18,262,27.1,30.5,24.8,16.4,1.1,17.6
400036,"CHICAGO VIRTUAL",2018,"Chicago Virtual Charter School","HS",671,402,392,134,72,44,1,0,1,16,2,9,344,23,19.5,27.9,26.7,2.9,29.7,343,30.3,25.7,24.5,17.8,1.7,19.5
609898,"EBERHART",2018,"John F Eberhart Elementary School","ES",1273,1203,33,1223,14,0,2,0,0,1,0,0,881,27.4,27.9,26.7,17.7,0.3,18,884,24.3,39.8,24.2,11.2,0.5,11.7
609849,"CASSELL",2018,"George F Cassell Elementary School","ES",381,67,26,65,273,3,2,0,0,11,1,0,166,18.1,22.9,34.3,24.1,0.6,24.7,162,19.8,26.5,31.5,20.4,1.9,22.2
